id_compte,numero_compte,type_compte,produit_bancaire,statut_compte,date_ouverture
55,237-01-105987486,Professionnel,Compte professionnel,Actif,2017-07-10
56,237-01-105993809,Tontine,Compte tontine,Actif,2020-08-02
57,237-01-106161355,Épargne,Épargne projet,Actif,2023-02-11
58,237-01-106250484,Association,Compte association,Actif,2019-06-15
59,237-01-106446729,Courant,Compte salaire,Actif,2020-02-04
60,237-01-106454837,Professionnel,Compte professionnel,Bloqué,2018-11-11
61,237-01-106523553,Épargne,Épargne projet,Actif,2023-09-09
62,237-01-106745457,Épargne,Épargne classique,Actif,2021-08-12
63,237-01-106746333,Épargne,Épargne jeune,Actif,2022-06-24
64,237-01-106940621,Épargne,Épargne classique,Actif,2023-06-16
65,237-01-107019976,Épargne,Épargne classique,Actif,2021-05-08
66,237-01-107134574,Professionnel,Compte professionnel,Actif,2025-10-17
67,237-01-107338107,Courant,Compte courant,Actif,2017-03-18
68,237-01-107391685,Courant,Compte salaire,Actif,2024-07-04
69,237-01-107401497,Courant,Compte courant,Actif,2022-10-20
70,237-01-107427145,Professionnel,Crédit scolaire,Actif,2019-09-21
71,237-01-107472911,Épargne,Épargne classique,Actif,2018-12-07
72,237-01-107681259,Professionnel,Crédit scolaire,Actif,2020-07-30
73,237-01-107774463,Professionnel,Compte professionnel,Actif,2022-01-12
74,237-01-108178686,Épargne,Épargne classique,Actif,2021-10-29
75,237-01-108233849,Professionnel,Crédit commercial,Actif,2021-11-08
76,237-01-108292674,Commerçant,Compte commerçant,Actif,2022-06-16
77,237-01-108488274,Courant,Compte salaire,Actif,2017-02-18
78,237-01-108626233,Association,Compte association,Actif,2019-03-18
79,237-01-108652795,Épargne,Épargne jeune,Actif,2018-10-08
80,237-01-108670613,Tontine,Compte tontine,Actif,2025-12-29
81,237-01-108866043,Épargne,Épargne jeune,Actif,2019-09-28
82,237-01-108880504,Professionnel,Crédit commercial,Dormant,2022-09-06
83,237-01-109026454,Épargne,Épargne projet,Actif,2022-06-25
84,237-01-109052282,Professionnel,Crédit commercial,Actif,2023-03-28
85,237-01-109112117,Courant,Compte salaire,Actif,2017-05-24
86,237-01-109429415,Courant,Compte salaire,Actif,2022-09-09
87,237-01-109463984,Courant,Compte courant,Actif,2020-09-20
88,237-01-109530466,Professionnel,Crédit commercial,Actif,2020-09-16
89,237-01-109761080,Tontine,Compte tontine,Actif,2018-04-09
90,237-01-109952773,Épargne,Épargne jeune,Actif,2023-02-12
91,237-01-109993023,Association,Compte association,Actif,2020-05-27
92,237-01-110020809,Professionnel,Compte professionnel,Actif,2021-11-02
93,237-01-110025883,Courant,Compte courant,Actif,2023-01-31
94,237-01-110119183,Professionnel,Compte professionnel,Actif,2025-02-08
95,237-01-110148715,Épargne,Épargne jeune,Actif,2020-04-22
96,237-01-110259155,Épargne,Épargne jeune,Actif,2017-08-10
97,237-01-110337504,Courant,Compte salaire,Actif,2023-05-15
98,237-01-110471435,Épargne,Épargne classique,Actif,2018-01-20
99,237-01-110519487,Association,Compte association,Actif,2021-02-12
100,237-01-110531484,Association,Compte association,Actif,2022-01-21
101,237-01-110641196,Courant,Compte salaire,Actif,2017-06-29
102,237-01-110665115,Courant,Compte salaire,Actif,2024-09-09
103,237-01-110716884,Tontine,Compte tontine,Clôturé,2022-10-18
104,237-01-110749195,Courant,Compte courant,Actif,2021-01-16
105,237-01-110878435,Épargne,Épargne projet,Actif,2022-10-25
106,237-01-111024575,Tontine,Compte tontine,Actif,2024-08-26
107,237-01-111030089,Association,Compte association,Actif,2021-10-13
108,237-01-111196333,Professionnel,Compte professionnel,Actif,2017-10-21
109,237-01-111321780,Association,Compte association,Actif,2017-06-26
110,237-01-112096213,Épargne,Épargne jeune,Actif,2025-07-26
111,237-01-112647538,Professionnel,Crédit commercial,Clôturé,2023-01-18
112,237-01-112742870,Courant,Compte salaire,Actif,2017-01-22
113,237-01-112760911,Épargne,Épargne jeune,Actif,2019-01-16
114,237-01-113178518,Tontine,Compte tontine,Actif,2025-04-07
115,237-01-113294538,Épargne,Épargne jeune,Actif,2017-04-30
116,237-01-113476051,Tontine,Compte tontine,Bloqué,2019-12-21
117,237-01-113536648,Épargne,Épargne projet,Actif,2021-10-11
118,237-01-113545737,Tontine,Compte tontine,Actif,2023-02-10
119,237-01-113581430,Épargne,Épargne classique,Actif,2021-02-17
120,237-01-113794055,Courant,Compte courant,Actif,2022-09-04
121,237-01-113850244,Professionnel,Crédit scolaire,Actif,2021-10-14
122,237-01-113899960,Courant,Compte courant,Actif,2026-04-03
123,237-01-113998574,Épargne,Épargne jeune,Actif,2026-01-27
124,237-01-114026004,Professionnel,Compte professionnel,Actif,2021-05-03
125,237-01-114091887,Professionnel,Crédit scolaire,Actif,2019-03-27
126,237-01-114098356,Professionnel,Crédit scolaire,Actif,2018-08-13
127,237-01-114274658,Professionnel,Compte professionnel,Actif,2023-11-18
128,237-01-114420565,Commerçant,Compte commerçant,Actif,2020-07-30
129,237-01-114483232,Association,Compte association,Actif,2018-07-19
130,237-01-114500265,Courant,Compte salaire,Actif,2022-11-16
131,237-01-114513124,Épargne,Épargne jeune,Actif,2017-06-30
132,237-01-114548368,Courant,Compte courant,Actif,2020-05-21
133,237-01-114605583,Professionnel,Compte professionnel,Actif,2021-07-27
134,237-01-114635552,Professionnel,Crédit commercial,Actif,2024-06-03
135,237-01-114722750,Professionnel,Compte professionnel,Actif,2023-10-02
136,237-01-114730418,Commerçant,Compte commerçant,Actif,2022-09-20
137,237-01-114773767,Professionnel,Compte professionnel,Actif,2025-01-16
138,237-01-114793645,Courant,Compte salaire,Actif,2025-01-15
139,237-01-114798666,Professionnel,Crédit commercial,Actif,2019-06-21
140,237-01-114876779,Épargne,Épargne classique,Actif,2025-01-20
141,237-01-115133104,Association,Compte association,Actif,2020-08-26
142,237-01-115208149,Professionnel,Crédit scolaire,Actif,2025-06-05
143,237-01-115227050,Association,Compte association,Actif,2017-11-14
144,237-01-115369335,Association,Compte association,Dormant,2019-06-28
145,237-01-115471025,Association,Compte association,Actif,2024-11-11
146,237-01-115518044,Épargne,Épargne classique,Actif,2023-12-21
147,237-01-115660473,Épargne,Épargne jeune,Actif,2019-04-24
148,237-01-116049119,Association,Compte association,Actif,2020-03-20
149,237-01-116080856,Professionnel,Compte professionnel,Actif,2022-04-03
150,237-01-116098316,Épargne,Épargne jeune,Actif,2022-04-03
151,237-01-116262980,Commerçant,Compte commerçant,Actif,2025-01-17
152,237-01-116309194,Professionnel,Compte professionnel,Actif,2025-10-11
153,237-01-116360967,Épargne,Épargne jeune,Actif,2019-04-28
154,237-01-116365327,Courant,Compte courant,Actif,2021-09-30
155,237-01-116609782,Professionnel,Crédit scolaire,Actif,2022-04-26
156,237-01-116745717,Courant,Compte courant,Actif,2024-01-10
157,237-01-116756120,Commerçant,Compte commerçant,Actif,2019-01-30
158,237-01-116950561,Courant,Compte courant,Actif,2023-11-16
159,237-01-116983196,Professionnel,Crédit scolaire,Actif,2023-09-10
160,237-01-116984738,Courant,Compte courant,Actif,2021-01-29
161,237-01-117015557,Association,Compte association,Actif,2025-07-06
162,237-01-117098444,Commerçant,Compte commerçant,Actif,2023-09-02
163,237-01-117123051,Professionnel,Crédit commercial,Actif,2017-09-29
164,237-01-117204403,Commerçant,Compte commerçant,Actif,2017-09-11
165,237-01-117248963,Courant,Compte salaire,Actif,2017-05-18
166,237-01-117381593,Épargne,Épargne jeune,Actif,2023-02-09
167,237-01-117424770,Professionnel,Crédit scolaire,Actif,2017-10-10
168,237-01-117456678,Courant,Compte salaire,Dormant,2023-02-15
169,237-01-117538962,Tontine,Compte tontine,Actif,2022-10-29
170,237-01-117909768,Professionnel,Compte professionnel,Actif,2018-08-16
171,237-01-118024111,Association,Compte association,Actif,2019-08-27
172,237-01-118026047,Association,Compte association,Actif,2021-11-28
173,237-01-118069943,Épargne,Épargne jeune,Actif,2024-07-28
174,237-01-118252016,Tontine,Compte tontine,Actif,2018-11-09
175,237-01-118437855,Courant,Compte salaire,Actif,2018-07-19
176,237-01-118480899,Association,Compte association,Actif,2025-06-01
177,237-01-118830899,Professionnel,Crédit scolaire,Actif,2017-09-08
178,237-01-119029614,Courant,Compte salaire,Actif,2017-04-14
179,237-01-119034024,Épargne,Épargne classique,Bloqué,2025-08-28
180,237-01-119226591,Épargne,Épargne classique,Actif,2021-05-31
181,237-01-119237444,Épargne,Épargne classique,Actif,2024-03-19
182,237-01-119436150,Professionnel,Crédit scolaire,Actif,2024-07-23
183,237-01-119437938,Courant,Compte courant,Actif,2020-11-01
184,237-01-119943473,Épargne,Épargne projet,Actif,2019-09-19
185,237-01-119949814,Courant,Compte courant,Actif,2020-09-05
186,237-01-119952811,Épargne,Épargne classique,Actif,2024-04-01
187,237-01-120253323,Professionnel,Crédit commercial,Actif,2024-04-04
188,237-01-120341792,Professionnel,Compte professionnel,Actif,2020-01-23
189,237-01-120385231,Épargne,Épargne jeune,Actif,2019-08-05
190,237-01-120443973,Courant,Compte salaire,Actif,2022-09-12
191,237-01-120447003,Tontine,Compte tontine,Actif,2020-08-17
192,237-01-120521519,Courant,Compte courant,Actif,2021-03-31
193,237-01-120578940,Tontine,Compte tontine,Actif,2018-06-08
194,237-01-120591192,Professionnel,Crédit commercial,Actif,2025-02-09
195,237-01-120713341,Épargne,Épargne jeune,Dormant,2017-01-23
196,237-01-120822173,Tontine,Compte tontine,Actif,2025-11-06
197,237-01-120839459,Épargne,Épargne classique,Actif,2020-04-07
198,237-01-120924812,Association,Compte association,Actif,2019-11-29
199,237-01-120957517,Commerçant,Compte commerçant,Dormant,2021-01-25
200,237-01-120995944,Commerçant,Compte commerçant,Actif,2026-01-25
201,237-01-121086369,Professionnel,Compte professionnel,Actif,2018-10-27
202,237-01-121356130,Commerçant,Compte commerçant,Actif,2025-05-02
203,237-01-121483977,Courant,Compte salaire,Actif,2024-07-28
204,237-01-121488400,Professionnel,Crédit scolaire,Actif,2022-02-21
205,237-01-121687303,Professionnel,Crédit scolaire,Actif,2023-05-01
206,237-01-121785392,Professionnel,Compte professionnel,Actif,2025-03-23
207,237-01-121912049,Tontine,Compte tontine,Actif,2020-05-15
208,237-01-121947931,Épargne,Épargne projet,Actif,2025-08-13
209,237-01-121964082,Épargne,Épargne jeune,Actif,2024-10-11
210,237-01-122090333,Épargne,Épargne projet,Actif,2022-09-08
211,237-01-122206404,Épargne,Épargne classique,Actif,2024-03-22
212,237-01-122237397,Association,Compte association,Actif,2023-09-24
213,237-01-122308399,Commerçant,Compte commerçant,Actif,2021-10-05
214,237-01-122318405,Professionnel,Crédit scolaire,Actif,2022-08-24
215,237-01-122508970,Épargne,Épargne jeune,Actif,2017-04-21
216,237-01-122614957,Professionnel,Crédit scolaire,Actif,2025-05-08
217,237-01-122633035,Épargne,Épargne classique,Actif,2020-10-19
218,237-01-122751218,Épargne,Épargne classique,Bloqué,2023-10-22
219,237-01-122798837,Professionnel,Compte professionnel,Actif,2017-03-26
220,237-01-123114216,Courant,Compte courant,Actif,2017-11-18
221,237-01-123221444,Professionnel,Crédit commercial,Actif,2022-01-30
222,237-01-123392620,Épargne,Épargne classique,Actif,2021-04-02
223,237-01-123534671,Épargne,Épargne classique,Actif,2018-03-16
224,237-01-123568385,Association,Compte association,Clôturé,2017-04-21
225,237-01-123713989,Épargne,Épargne projet,Actif,2020-07-20
226,237-01-123864506,Association,Compte association,Actif,2024-07-03
227,237-01-124134620,Professionnel,Compte professionnel,Actif,2017-06-10
228,237-01-124191635,Courant,Compte salaire,Actif,2021-07-19
229,237-01-124529031,Professionnel,Crédit commercial,Actif,2019-12-05
230,237-01-124529654,Épargne,Épargne classique,Actif,2025-12-17
231,237-01-124770416,Tontine,Compte tontine,Actif,2019-11-22
232,237-01-124864850,Professionnel,Crédit scolaire,Actif,2020-06-11
233,237-01-124884952,Épargne,Épargne jeune,Actif,2021-08-18
234,237-01-125012253,Commerçant,Compte commerçant,Actif,2022-12-29
235,237-01-125074696,Professionnel,Compte professionnel,Actif,2020-09-28
236,237-01-125175194,Association,Compte association,Actif,2025-05-12
237,237-01-125393061,Épargne,Épargne jeune,Actif,2017-08-26
238,237-01-125508681,Association,Compte association,Actif,2025-07-07
239,237-01-125671743,Épargne,Épargne classique,Actif,2022-07-06
240,237-01-125679244,Commerçant,Compte commerçant,Actif,2020-11-19
241,237-01-125764327,Courant,Compte courant,Actif,2017-05-02
242,237-01-125824962,Courant,Compte courant,Bloqué,2024-11-30
243,237-01-126050082,Épargne,Épargne jeune,Actif,2017-10-25
244,237-01-126085205,Courant,Compte salaire,Actif,2019-01-02
245,237-01-126200098,Épargne,Épargne projet,Actif,2018-06-19
246,237-01-126297393,Association,Compte association,Clôturé,2024-10-09
247,237-01-126427190,Tontine,Compte tontine,Actif,2018-07-02
248,237-01-126470820,Épargne,Épargne classique,Clôturé,2025-07-25
249,237-01-126819639,Association,Compte association,Actif,2022-04-10
250,237-01-126930073,Commerçant,Compte commerçant,Clôturé,2018-06-07
251,237-01-126985489,Courant,Compte courant,Actif,2022-10-07
252,237-01-126991441,Épargne,Épargne jeune,Actif,2020-03-06
253,237-01-127052982,Courant,Compte courant,Actif,2018-01-30
254,237-01-127411918,Courant,Compte salaire,Actif,2021-11-18
255,237-01-127671057,Professionnel,Compte professionnel,Actif,2019-04-29
256,237-01-127689271,Tontine,Compte tontine,Actif,2026-05-14
257,237-01-127942125,Courant,Compte salaire,Actif,2021-10-06
258,237-01-127994673,Commerçant,Compte commerçant,Actif,2021-12-18
259,237-01-128080485,Association,Compte association,Actif,2023-08-22
260,237-01-128086864,Tontine,Compte tontine,Actif,2025-09-09
261,237-01-128281844,Tontine,Compte tontine,Actif,2023-10-05
262,237-01-128502419,Commerçant,Compte commerçant,Actif,2025-11-02
263,237-01-128552221,Tontine,Compte tontine,Actif,2025-04-05
264,237-01-128600411,Professionnel,Compte professionnel,Actif,2020-05-20
265,237-01-128601390,Professionnel,Crédit scolaire,Actif,2023-10-03
266,237-01-128832235,Courant,Compte courant,Actif,2018-03-10
267,237-01-128853628,Professionnel,Crédit commercial,Actif,2022-09-20
268,237-01-128915000,Professionnel,Crédit commercial,Actif,2021-11-09
269,237-01-129016133,Professionnel,Compte professionnel,Actif,2017-07-09
270,237-01-129164036,Épargne,Épargne projet,Dormant,2026-03-31
271,237-01-129216987,Épargne,Épargne jeune,Actif,2018-02-02
272,237-01-129244911,Professionnel,Compte professionnel,Actif,2020-09-30
273,237-01-129459243,Épargne,Épargne jeune,Actif,2020-06-09
274,237-01-129551535,Courant,Compte salaire,Actif,2017-04-24
275,237-01-129596381,Association,Compte association,Actif,2020-01-13
276,237-01-129684133,Courant,Compte courant,Actif,2020-04-14
277,237-01-129702144,Professionnel,Compte professionnel,Actif,2024-03-30
278,237-01-129711130,Courant,Compte salaire,Actif,2020-05-16
279,237-01-129731772,Commerçant,Compte commerçant,Actif,2019-01-23
280,237-01-129749767,Courant,Compte salaire,Dormant,2019-12-05
281,237-01-129807934,Épargne,Épargne projet,Actif,2018-06-17
282,237-01-129873446,Professionnel,Crédit scolaire,Actif,2020-03-01
283,237-01-129895025,Association,Compte association,Actif,2021-06-17
284,237-01-129983138,Tontine,Compte tontine,Actif,2023-02-04
285,237-01-130031629,Tontine,Compte tontine,Actif,2019-04-05
286,237-01-130266074,Tontine,Compte tontine,Actif,2018-06-29
287,237-01-130423260,Tontine,Compte tontine,Actif,2020-01-09
288,237-01-130706251,Professionnel,Crédit commercial,Actif,2017-06-18
289,237-01-130882428,Tontine,Compte tontine,Clôturé,2021-08-13
290,237-01-130895876,Courant,Compte salaire,Actif,2022-02-17
291,237-01-130951247,Épargne,Épargne classique,Clôturé,2018-10-16
292,237-01-131098685,Tontine,Compte tontine,Dormant,2017-10-20
293,237-01-131227134,Épargne,Épargne projet,Bloqué,2017-04-26
294,237-01-131310818,Professionnel,Compte professionnel,Actif,2020-08-24
295,237-01-131351495,Tontine,Compte tontine,Actif,2019-03-22
296,237-01-131476061,Courant,Compte salaire,Actif,2023-03-23
297,237-01-131785492,Épargne,Épargne projet,Clôturé,2023-10-26
298,237-01-131849775,Épargne,Épargne classique,Actif,2022-05-13
299,237-01-131888089,Professionnel,Crédit scolaire,Actif,2026-01-16
300,237-01-131895586,Professionnel,Compte professionnel,Actif,2023-10-12
301,237-01-132162086,Professionnel,Crédit commercial,Actif,2017-08-18
302,237-01-132269707,Courant,Compte salaire,Actif,2021-07-22
303,237-01-132322768,Professionnel,Crédit commercial,Actif,2020-08-02
304,237-01-132406646,Commerçant,Compte commerçant,Actif,2022-09-11
305,237-01-132517682,Professionnel,Compte professionnel,Actif,2025-10-27
306,237-01-132533599,Professionnel,Crédit scolaire,Actif,2025-05-11
307,237-01-132591731,Épargne,Épargne classique,Bloqué,2018-06-09
308,237-01-132658469,Association,Compte association,Actif,2024-11-29
309,237-01-132662782,Professionnel,Crédit commercial,Actif,2020-05-16
310,237-01-132683865,Épargne,Épargne classique,Dormant,2022-10-08
311,237-01-132747054,Professionnel,Crédit commercial,Actif,2025-08-06
312,237-01-132860047,Courant,Compte salaire,Actif,2024-12-17
313,237-01-133201671,Épargne,Épargne classique,Actif,2025-06-13
314,237-01-133357361,Professionnel,Crédit scolaire,Actif,2020-01-03
315,237-01-133468908,Professionnel,Compte professionnel,Actif,2019-11-24
316,237-01-133665928,Association,Compte association,Bloqué,2019-04-03
317,237-01-133795772,Épargne,Épargne projet,Actif,2020-10-20
318,237-01-133950814,Association,Compte association,Actif,2021-02-11
319,237-01-134256243,Épargne,Épargne jeune,Actif,2024-03-08
320,237-01-134278994,Commerçant,Compte commerçant,Actif,2024-03-18
321,237-01-134345152,Professionnel,Crédit commercial,Actif,2021-10-19
322,237-01-134587926,Courant,Compte salaire,Actif,2023-01-06
323,237-01-134869006,Professionnel,Crédit commercial,Actif,2025-12-06
324,237-01-134906429,Association,Compte association,Actif,2024-05-30
325,237-01-135158899,Professionnel,Compte professionnel,Actif,2023-10-13
326,237-01-135180922,Professionnel,Crédit commercial,Actif,2021-06-28
327,237-01-135196840,Professionnel,Crédit commercial,Actif,2019-08-09
328,237-01-135217011,Tontine,Compte tontine,Actif,2021-11-20
329,237-01-135298958,Courant,Compte salaire,Actif,2020-11-25
330,237-01-135443502,Professionnel,Crédit commercial,Actif,2022-08-21
331,237-01-135448217,Commerçant,Compte commerçant,Actif,2024-05-09
332,237-01-135456818,Professionnel,Crédit commercial,Actif,2019-01-11
333,237-01-135583088,Professionnel,Crédit scolaire,Dormant,2024-07-16
334,237-01-135628946,Courant,Compte salaire,Actif,2024-12-18
335,237-01-135852468,Professionnel,Crédit scolaire,Actif,2024-07-09
336,237-01-136046851,Épargne,Épargne jeune,Actif,2021-03-31
337,237-01-136060202,Épargne,Épargne jeune,Actif,2022-08-26
338,237-01-137004617,Épargne,Épargne projet,Actif,2022-04-08
339,237-01-137021807,Épargne,Épargne classique,Actif,2021-09-15
340,237-01-137037714,Tontine,Compte tontine,Actif,2021-07-19
341,237-01-137136283,Courant,Compte courant,Actif,2017-05-02
342,237-01-137241500,Courant,Compte salaire,Actif,2023-11-04
343,237-01-137360849,Tontine,Compte tontine,Actif,2025-06-21
344,237-01-137583102,Professionnel,Crédit commercial,Actif,2018-03-22
345,237-01-137746716,Épargne,Épargne projet,Actif,2017-12-16
346,237-01-137822704,Épargne,Épargne projet,Bloqué,2024-03-24
347,237-01-137840095,Épargne,Épargne jeune,Actif,2020-04-13
348,237-01-137890104,Association,Compte association,Actif,2023-08-08
349,237-01-137901573,Professionnel,Crédit scolaire,Actif,2019-04-26
350,237-01-137983223,Professionnel,Crédit commercial,Clôturé,2023-01-07
351,237-01-138029733,Épargne,Épargne jeune,Actif,2019-02-27
352,237-01-138114041,Tontine,Compte tontine,Actif,2024-01-17
353,237-01-138140973,Professionnel,Crédit commercial,Actif,2024-07-26
354,237-01-138142937,Professionnel,Compte professionnel,Dormant,2021-08-20
355,237-01-138295237,Association,Compte association,Actif,2019-04-20
356,237-01-138448896,Professionnel,Crédit scolaire,Actif,2022-06-10
357,237-01-138482767,Courant,Compte courant,Actif,2020-08-24
358,237-01-138581154,Courant,Compte salaire,Actif,2022-01-23
359,237-01-138733692,Épargne,Épargne projet,Actif,2025-08-06
360,237-01-138761796,Épargne,Épargne jeune,Actif,2022-03-26
361,237-01-138902168,Épargne,Épargne jeune,Actif,2022-07-18
362,237-01-138909086,Épargne,Épargne projet,Actif,2021-03-17
363,237-01-139338611,Professionnel,Crédit scolaire,Actif,2017-03-18
364,237-01-139387304,Commerçant,Compte commerçant,Actif,2019-03-21
365,237-01-139436837,Épargne,Épargne jeune,Actif,2020-04-20
366,237-01-139519015,Commerçant,Compte commerçant,Actif,2023-06-10
367,237-01-139685173,Épargne,Épargne classique,Actif,2020-11-30
368,237-01-139758017,Professionnel,Crédit scolaire,Actif,2017-05-27
369,237-01-139825471,Courant,Compte courant,Actif,2023-08-15
370,237-01-139942200,Courant,Compte courant,Actif,2025-05-28
371,237-01-140038204,Commerçant,Compte commerçant,Bloqué,2025-01-05
372,237-01-140117914,Professionnel,Crédit scolaire,Actif,2025-08-09
373,237-01-140146202,Épargne,Épargne projet,Actif,2021-06-27
374,237-01-140162297,Association,Compte association,Actif,2020-07-15
375,237-01-140307793,Épargne,Épargne jeune,Actif,2024-10-09
376,237-01-140404186,Épargne,Épargne projet,Actif,2025-11-14
377,237-01-140468211,Professionnel,Crédit commercial,Actif,2021-05-09
378,237-01-140499368,Professionnel,Crédit commercial,Actif,2023-05-13
379,237-01-140870279,Épargne,Épargne jeune,Bloqué,2022-03-28
380,237-01-140917513,Courant,Compte salaire,Actif,2017-05-15
381,237-01-141148805,Épargne,Épargne classique,Actif,2022-03-15
382,237-01-141152802,Épargne,Épargne projet,Actif,2024-05-29
383,237-01-141323971,Courant,Compte courant,Actif,2017-01-21
384,237-01-141334767,Professionnel,Crédit scolaire,Actif,2019-07-27
385,237-01-141339967,Courant,Compte salaire,Actif,2025-03-31
386,237-01-141669107,Épargne,Épargne classique,Bloqué,2018-01-23
387,237-01-141683310,Professionnel,Compte professionnel,Bloqué,2017-07-20
388,237-01-141705384,Épargne,Épargne jeune,Actif,2021-06-17
389,237-01-141745307,Tontine,Compte tontine,Actif,2019-06-12
390,237-01-141858753,Professionnel,Compte professionnel,Actif,2020-08-27
391,237-01-141865704,Courant,Compte courant,Actif,2020-02-27
392,237-01-142030993,Tontine,Compte tontine,Bloqué,2022-03-28
393,237-01-142105867,Professionnel,Crédit commercial,Actif,2017-12-17
394,237-01-142279785,Commerçant,Compte commerçant,Actif,2025-02-05
395,237-01-142304096,Épargne,Épargne jeune,Actif,2023-03-21
396,237-01-142320977,Professionnel,Crédit scolaire,Clôturé,2019-07-12
397,237-01-142744925,Épargne,Épargne classique,Actif,2017-08-17
398,237-01-142902283,Professionnel,Crédit scolaire,Actif,2022-09-05
399,237-01-143093632,Tontine,Compte tontine,Bloqué,2024-04-19
400,237-01-143253711,Tontine,Compte tontine,Actif,2020-01-14
401,237-01-143263361,Courant,Compte courant,Actif,2020-09-29
402,237-01-143371716,Professionnel,Crédit commercial,Actif,2017-04-08
403,237-01-143560899,Épargne,Épargne classique,Actif,2023-01-16
404,237-01-143591155,Tontine,Compte tontine,Actif,2024-06-13
405,237-01-143735511,Courant,Compte salaire,Actif,2021-02-08
406,237-01-143799872,Épargne,Épargne classique,Actif,2017-08-08
407,237-01-143894544,Tontine,Compte tontine,Actif,2017-03-10
408,237-01-143926456,Courant,Compte salaire,Bloqué,2024-09-25
409,237-01-144345170,Commerçant,Compte commerçant,Bloqué,2022-11-21
410,237-01-144448196,Tontine,Compte tontine,Actif,2022-10-23
411,237-01-144496638,Courant,Compte courant,Actif,2024-09-13
412,237-01-144516770,Courant,Compte salaire,Clôturé,2018-03-25
413,237-01-144575555,Professionnel,Compte professionnel,Actif,2026-06-19
414,237-01-144785113,Épargne,Épargne jeune,Actif,2018-09-02
415,237-01-144845338,Professionnel,Crédit commercial,Actif,2022-02-25
416,237-01-144889217,Commerçant,Compte commerçant,Actif,2024-01-26
