numero_compte,code_client,type_compte,produit_bancaire,statut_compte,date_ouverture,devise,solde_initial
237-01-566948918,CUST-0003981,Épargne,Épargne jeune,Actif,06/07/2020,XAF,918668
237-01-316288748,CUST-0002738,Commerçant,Compte commerçant,Dormant,2024-05-27,FCFA,798944
237-01-620092597,CUST-0002299,Épargne,Épargne jeune,Actif,2025-01-10,FCFA,646586
237-01-713301467,CUST-0004186,Professionnel,Crédit scolaire,Actif,2018-01-07,FCFA,3413898
237-01-807028332,CUST-0003372,Professionnel,Crédit scolaire,Actif,2022-08-01,FCFA,4553239
237-01-700789683,CUST-0006131,Professionnel,Crédit scolaire,Actif,2021-02-01,FCFA,3270148
237-01-417617527,CUST-0004710,Professionnel,Crédit scolaire,Actif,2017/08/28,FCFA,2326374
237-01-832056527,CUST-0001563,Courant,Compte courant,Clôturé,2026-04-04,FCFA,1290590
237-01-236669959,CUST-0000145,Tontine,Compte tontine,Dormant,2020-05-07,XAF,3122077
237-01-708351675,CUST-0002842,Épargne,Épargne jeune,Clôturé,2022-08-08,XAF,2277145
237-01-735159525,CUST-0001155,Professionnel,Crédit commercial,Actif,2025-06-08,XAF,4703625
237-01-432560998,CUST-0005970,Professionnel,Crédit scolaire,Actif,2023-12-09,FCFA,1648668
237-01-684563914,CUST-0000297,Courant,Compte courant,Clôturé,2025-03-16,FCFA,3657621
237-01-507211125,CUST-0005729,Épargne,Épargne classique,Dormant,2018-01-25,XAF,264578
237-01-995431146,CUST-0004403,Épargne,Épargne projet,Actif,2021-02-21,XAF,3282920
237-01-957112891,CUST-0002405,Professionnel,Crédit scolaire,Actif,2018-06-02,FCFA,2934058
237-01-310779320,CUST-0000866,Association,Compte association,Actif,2019/03/10,XAF,4939908
237-01-100772975,CUST-0005986,Épargne,Épargne jeune,Actif,2025/06/12,XAF,2385294
237-01-956837735,CUST-0004521,Professionnel,Crédit scolaire,Actif,2026-04-05,XAF,3427631
237-01-493442761,CUST-0005980,Commerçant,Compte commerçant,Dormant,2017-03-12,FCFA,729713
237-01-445853349,CUST-0002896,Association,Compte association,Actif,2025-02-07,XAF,4052347
237-01-817070305,CUST-0004980,Commerçant,Compte commerçant,Dormant,2021-07-18,FCFA,2524964
237-01-810892664,CUST-0001899,Professionnel,Crédit scolaire,Clôturé,24/03/2025,FCFA,4898962
237-01-837682279,CUST-0003138,Tontine,Compte tontine,Bloqué,2024-03-18,XAF,2226859
237-01-621186392,CUST-0004062,Professionnel,Crédit scolaire,Actif,2022-07-16,XAF,4450719
237-01-114513124,CUST-0002558,Épargne,Épargne jeune,Actif,2017-06-30,XAF,1940058
237-01-837390450,CUST-0000371,Commerçant,Compte commerçant,Actif,17/12/2023,FCFA,3399721
237-01-852039439,CUST-0003650,Épargne,Épargne jeune,Actif,2017-03-22,FCFA,3377577
237-01-733635465,CUST-0006045,Tontine,Compte tontine,Actif,2017/02/17,XAF,743372
237-01-165123835,CUST-0000122,Épargne,Épargne jeune,Actif,2025-11-08,XAF,2286053
237-01-160923309,CUST-0004521,Épargne,Épargne classique,Dormant,2020-09-06,FCFA,371449
237-01-962728528,CUST-0006018,Professionnel,Crédit scolaire,Bloqué,2019-08-24,XAF,1906160
237-01-672175527,CUST-0004706,Commerçant,Compte commerçant,Actif,2024-06-26,FCFA,2584712
237-01-344666473,CUST-0001524,Professionnel,Crédit scolaire,Dormant,2018-10-31,XAF,2252115
237-01-554311300,CUST-0005454,Courant,Compte courant,Actif,2021-07-17,XAF,3239877
237-01-531190802,CUST-0003494,Épargne,Épargne jeune,Dormant,2023-11-12,XAF,4769863
237-01-906948556,CUST-0003243,Association,Compte association,Actif,2018-11-17,XAF,2873845
237-01-260021285,CUST-0005348,Épargne,Épargne classique,Actif,2024-03-30,FCFA,4046072
237-01-933139485,CUST-0004457,Association,Compte association,Actif,2021-01-16,FCFA,1830128
237-01-215639079,CUST-0005573,Association,Compte association,Actif,2020-05-02,FCFA,4931954
237-01-314877244,CUST-0000375,Courant,Compte salaire,Actif,2018/01/09,FCFA,2147275
237-01-891836185,CUST-0001631,Courant,Compte salaire,Dormant,2018-11-15,XAF,4614055
237-01-582587813,CUST-0005004,Tontine,Compte tontine,Dormant,19/11/2025,FCFA,2626629
237-01-846922706,CUST-0002408,Professionnel,Crédit scolaire,Actif,2024-09-13,XAF,1113094
237-01-397746897,CUST-0002985,Professionnel,Crédit commercial,Actif,2020-11-04,XAF,4166432
237-01-553659959,CUST-0004591,Association,Compte association,Actif,2022-09-23,XAF,325358
237-01-354814715,CUST-0001395,Épargne,Épargne projet,Actif,01/05/2019,XAF,1647593
237-01-936339733,CUST-0004691,Courant,Compte salaire,Actif,2020-05-14,FCFA,4845492
237-01-905776807,CUST-0004077,Tontine,Compte tontine,Clôturé,2018-06-29,FCFA,4203475
237-01-282009059,CUST-0004302,Tontine,Compte tontine,Actif,2023-06-24,FCFA,408526
237-01-256381964,CUST-0004445,Épargne,Épargne classique,Actif,2023-10-27,XAF,2472853
237-01-555358660,CUST-0003084,Association,Compte association,Bloqué,2023-10-06,FCFA,3312518
237-01-622327571,CUST-0002002,Épargne,Épargne classique,Actif,2017-12-04,FCFA,864386
237-01-539466737,CUST-0001689,Association,Compte association,Actif,2024-05-12,XAF,3334741
237-01-760964327,CUST-0001748,Commerçant,Compte commerçant,Actif,2021-08-22,XAF,3963386
237-01-365113695,CUST-0002780,Professionnel,Crédit scolaire,Clôturé,2022/04/30,FCFA,4784593
237-01-148644106,CUST-0001110,Professionnel,Crédit commercial,Actif,2020-09-25,XAF,267658
237-01-579681186,CUST-0001204,Association,Compte association,Actif,2023-08-26,XAF,2993936
237-01-907047417,CUST-0002293,Tontine,Compte tontine,Bloqué,2026-04-04,FCFA,1439107
237-01-163174016,CUST-0005133,Professionnel,Crédit scolaire,Actif,2021-11-11,XAF,4805743
237-01-491002677,CUST-0002363,Association,Compte association,Actif,2021-12-17,XAF,1419461
237-01-953874233,CUST-0001526,Professionnel,Compte professionnel,Actif,2023-03-02,FCFA,1330332
237-01-860033487,CUST-0001376,Épargne,Épargne classique,Actif,2021/09/02,XAF,915161
237-01-364169204,CUST-0005011,Professionnel,Compte professionnel,Actif,2021-09-22,XAF,2404373
237-01-459862610,CUST-0001180,Courant,Compte courant,Actif,2023/10/16,FCFA,1312987
237-01-369746317,CUST-0002899,Tontine,Compte tontine,Actif,2018/11/15,FCFA,3348510
237-01-250961744,CUST-0003107,Professionnel,Compte professionnel,Actif,2020-02-08,FCFA,2788450
237-01-370571463,CUST-0003028,Épargne,Épargne projet,Actif,2017-07-13,FCFA,1843829
237-01-574117906,CUST-0000229,Professionnel,Crédit scolaire,Clôturé,2018-01-02,XAF,3244744
237-01-554489235,CUST-0004763,Professionnel,Crédit scolaire,Actif,2021-06-05,FCFA,2804009
237-01-446510276,CUST-0001657,Épargne,Épargne classique,Actif,20/06/2024,XAF,4679276
237-01-418125363,CUST-0004112,Association,Compte association,Actif,2020-04-08,FCFA,2918658
237-01-880737199,CUST-0005905,Commerçant,Compte commerçant,Actif,2024-11-27,XAF,3655575
237-01-234645832,CUST-0005250,Épargne,Épargne classique,Actif,2017-06-17,XAF,1564406
237-01-116756120,CUST-0003363,Commerçant,Compte commerçant,Actif,30/01/2019,FCFA,2144476
237-01-376337262,CUST-0001236,Courant,Compte courant,Actif,2021-10-30,FCFA,2288533
237-01-208297823,CUST-0005425,Professionnel,Crédit scolaire,Actif,2017-09-15,XAF,2136187
237-01-681663853,CUST-0003490,Commerçant,Compte commerçant,Actif,2023-02-07,XAF,2406814
237-01-470298131,CUST-0002436,Professionnel,Crédit commercial,Actif,2018-04-05,XAF,3795698
237-01-519667588,CUST-0002767,Professionnel,Crédit scolaire,Actif,2025-08-12,FCFA,4003082
237-01-777129488,CUST-0005968,Épargne,Épargne jeune,Actif,2017-09-17,FCFA,392518
237-01-696495443,CUST-0001485,Épargne,Épargne projet,Actif,2018-08-03,XAF,2207249
237-01-322744194,CUST-0005033,Professionnel,Crédit commercial,Actif,2022-06-12,XAF,1245532
237-01-686180366,CUST-0000887,Commerçant,Compte commerçant,Actif,2026-05-07,XAF,55299
237-01-714858570,CUST-0005950,Courant,Compte salaire,Actif,2018-04-13,XAF,2499513
237-01-486430272,CUST-0001536,Commerçant,Compte commerçant,Actif,2017-01-27,FCFA,1658851
237-01-762941959,CUST-0005249,Association,Compte association,Actif,2018-03-28,FCFA,3004792
237-01-380623266,CUST-0001293,Association,Compte association,Actif,2018-11-12,XAF,1606725
237-01-699142576,CUST-0003383,Professionnel,Compte professionnel,Actif,2023-02-17,XAF,1929343
237-01-248784889,CUST-0004896,Professionnel,Crédit commercial,Dormant,2026/05/14,XAF,2222402
237-01-976635240,CUST-0001957,Professionnel,Crédit commercial,Actif,2021/10/17,XAF,934424
237-01-525109245,CUST-0001658,Courant,Compte courant,Actif,2025-06-15,FCFA,215824
237-01-439806301,CUST-0003908,Commerçant,Compte commerçant,Actif,24/02/2019,FCFA,361845
237-01-767661144,CUST-0006094,Professionnel,Crédit scolaire,Actif,2022-02-12,FCFA,1538158
237-01-114420565,CUST-0004774,Commerçant,Compte commerçant,Actif,2020-07-30,FCFA,2720439
237-01-410193314,CUST-0001594,Épargne,Épargne projet,Actif,2023-06-04,XAF,833544
237-01-673221948,CUST-0000273,Professionnel,Crédit scolaire,Actif,2020-11-22,FCFA,952885
237-01-931558373,CUST-0005144,Courant,Compte salaire,Actif,2023-02-04,XAF,2165097
237-01-536618451,CUST-0002807,Professionnel,Compte professionnel,Actif,2023-02-27,FCFA,3486956
237-01-322935286,CUST-0002966,Professionnel,Crédit commercial,Actif,2023/09/08,FCFA,1615326
237-01-684699618,CUST-0004837,Commerçant,Compte commerçant,Dormant,23/01/2020,XAF,2961742
237-01-548170762,CUST-0000360,Épargne,Épargne jeune,Actif,2024/03/03,FCFA,576527
237-01-944895417,CUST-0002131,Épargne,Épargne projet,Actif,2018/12/08,FCFA,3075911
237-01-947509777,CUST-0004387,Épargne,Épargne classique,Actif,2025-06-17,FCFA,1909913
237-01-266721937,CUST-0005992,Courant,Compte courant,Dormant,2020-12-14,XAF,1224837
237-01-822501808,CUST-0002868,Épargne,Épargne jeune,Actif,2023-03-21,FCFA,1916950
237-01-698842500,CUST-0003615,Tontine,Compte tontine,Actif,2025-05-08,FCFA,414281
237-01-128281844,CUST-0005033,Tontine,Compte tontine,Actif,2023-10-05,FCFA,3745847
237-01-828375791,CUST-0001297,Courant,Compte courant,Actif,24/03/2026,XAF,2922805
237-01-244005823,CUST-0000554,Association,Compte association,Clôturé,2023-08-03,FCFA,3165954
237-01-665769046,CUST-0004455,Épargne,Épargne jeune,Actif,2023-06-09,FCFA,4570149
237-01-328656533,CUST-0004006,Association,Compte association,Actif,2023-05-12,XAF,3941710
237-01-328143258,CUST-0002813,Professionnel,Crédit scolaire,Actif,2023-06-24,FCFA,4179966
237-01-105185660,CUST-0005182,Épargne,Épargne classique,Clôturé,2019-04-04,XAF,4405715
237-01-115369335,CUST-0002240,Association,Compte association,Dormant,2019-06-28,XAF,3261907
237-01-376571449,CUST-0004318,Professionnel,Crédit commercial,Actif,2018-08-26,FCFA,2705701
237-01-365702985,CUST-0005327,Épargne,Épargne classique,Actif,2025-02-25,XAF,1463695
237-01-821395843,CUST-0002530,Professionnel,Compte professionnel,Actif,2018-04-19,XAF,142458
237-01-174672314,CUST-0000817,Commerçant,Compte commerçant,Actif,27/11/2019,FCFA,4259627
237-01-201154700,CUST-0003319,Courant,Compte salaire,Actif,2024-05-15,FCFA,3739744
237-01-902880370,CUST-0001769,Épargne,Épargne classique,Actif,2025-06-15,XAF,4681294
237-01-194164721,CUST-0003953,Professionnel,Crédit scolaire,Clôturé,2020-02-07,XAF,3441463
237-01-989952181,CUST-0004812,Épargne,Épargne classique,Clôturé,2021-04-13,XAF,807180
237-01-665005786,CUST-0002464,Professionnel,Crédit scolaire,Actif,2017-07-23,XAF,2162444
237-01-464392069,CUST-0002589,Tontine,Compte tontine,Actif,2024-12-13,XAF,1362913
237-01-171700632,CUST-0006145,Tontine,Compte tontine,Actif,2026-06-08,FCFA,4552070
237-01-628765218,CUST-0002515,Courant,Compte courant,Actif,2021-05-13,XAF,4760609
237-01-741014353,CUST-0006117,Professionnel,Crédit commercial,Dormant,2019-11-14,FCFA,458893
237-01-337810943,CUST-0002185,Épargne,Épargne classique,Actif,2025-10-29,FCFA,1865107
237-01-416179109,CUST-0002332,Commerçant,Compte commerçant,Dormant,2022-07-10,XAF,2802613
237-01-141339967,CUST-0000684,Courant,Compte salaire,Actif,2025-03-31,FCFA,4137639
237-01-798422108,CUST-0001358,Association,Compte association,Actif,17/01/2018,XAF,363699
237-01-959184551,CUST-0005931,Courant,Compte courant,Actif,2020-03-26,FCFA,2998139
237-01-914238201,CUST-0001648,Professionnel,Compte professionnel,Actif,2026-02-18,XAF,1952815
237-01-888444222,CUST-0002119,Commerçant,Compte commerçant,Actif,2022-06-28,FCFA,1051014
237-01-713150005,CUST-0003085,Association,Compte association,Actif,2021-11-22,FCFA,3606627
237-01-487612723,CUST-0001171,Professionnel,Crédit commercial,Actif,2023-11-12,FCFA,385207
237-01-982105687,CUST-0001357,Épargne,Épargne projet,Actif,2019-01-11,FCFA,3760710
237-01-464694774,CUST-0002284,Courant,Compte courant,Actif,2019-12-29,FCFA,2873725
237-01-841087193,CUST-0001609,Tontine,Compte tontine,Actif,2017-06-14,FCFA,2502610
237-01-305195381,CUST-0004349,Courant,Compte courant,Actif,2021/04/22,FCFA,994062
237-01-775260313,CUST-0003783,Professionnel,Compte professionnel,Dormant,2025-08-19,FCFA,2163039
237-01-178268704,CUST-0000679,Professionnel,Crédit commercial,Clôturé,2018-10-10,XAF,2104933
237-01-418118301,CUST-0002637,Épargne,Épargne classique,Actif,2020-08-10,XAF,635674
237-01-433723057,CUST-0000042,Épargne,Épargne projet,Bloqué,2026-05-03,XAF,2799840
237-01-497000260,CUST-0003478,Courant,Compte courant,Actif,2017/10/29,FCFA,4295169
237-01-293783581,CUST-0001133,Tontine,Compte tontine,Actif,2025-10-31,XAF,4717154
237-01-508903273,CUST-0004135,Courant,Compte salaire,Dormant,2022-07-07,XAF,2565129
237-01-238148725,CUST-0000923,Professionnel,Crédit commercial,Actif,2021-03-16,FCFA,1789599
237-01-166793748,CUST-0003215,Commerçant,Compte commerçant,Actif,2018-10-09,XAF,2441548
237-01-181144310,CUST-0004348,Épargne,Épargne classique,Actif,23/10/2023,FCFA,4993230
237-01-419490870,CUST-0002493,Commerçant,Compte commerçant,Actif,2019-07-04,XAF,1891358
237-01-145232188,CUST-0001829,Association,Compte association,Actif,2020-02-22,FCFA,523233
237-01-496711784,CUST-0003140,Tontine,Compte tontine,Actif,2025-06-21,FCFA,1474588
237-01-261436080,CUST-0003566,Commerçant,Compte commerçant,Bloqué,2020-09-17,XAF,1851046
237-01-772288228,CUST-0001462,Commerçant,Compte commerçant,Actif,2024/04/10,FCFA,3555213
237-01-855580904,CUST-0004068,Professionnel,Crédit commercial,Actif,2026-06-23,FCFA,4488540
237-01-635494694,CUST-0002493,Courant,Compte salaire,Actif,2021-11-14,FCFA,2405397
237-01-941612112,CUST-0000639,Commerçant,Compte commerçant,Actif,2022/07/24,XAF,4741938
237-01-698036389,CUST-0005714,Association,Compte association,Actif,2020-04-23,XAF,3769377
237-01-183608617,CUST-0001132,Association,Compte association,Actif,2022-11-06,XAF,3709782
237-01-695598106,CUST-0004055,Tontine,Compte tontine,Actif,2017-05-02,FCFA,2303985
237-01-304197430,CUST-0001353,Épargne,Épargne classique,Actif,2021-01-20,FCFA,461650
237-01-385049530,CUST-0005132,Professionnel,Crédit scolaire,Actif,2025-01-13,FCFA,968351
237-01-816199726,CUST-0002470,Épargne,Épargne jeune,Dormant,2023/11/01,FCFA,1965350
237-01-597901588,CUST-0004136,Professionnel,Compte professionnel,Clôturé,2019-05-04,XAF,2136617
237-01-709361301,CUST-0005661,Professionnel,Crédit scolaire,Actif,2026-04-08,XAF,3378257
237-01-962293236,CUST-0001086,Professionnel,Crédit commercial,Actif,2019-02-13,XAF,3479823
237-01-818170086,CUST-0000762,Professionnel,Compte professionnel,Actif,2024-09-20,FCFA,178383
237-01-748197882,CUST-0002767,Professionnel,Compte professionnel,Actif,2019-05-28,XAF,2997685
237-01-130031629,CUST-0005645,Tontine,Compte tontine,Actif,2019-04-05,XAF,2586733
237-01-621173328,CUST-0002888,Commerçant,Compte commerçant,Actif,2026-03-08,XAF,2811434
237-01-672871880,CUST-0002914,Professionnel,Compte professionnel,Actif,2025-01-15,XAF,1227772
237-01-393890726,CUST-0001951,Professionnel,Crédit commercial,Actif,2019-03-07,XAF,4757721
237-01-850985077,CUST-0001772,Professionnel,Crédit commercial,Actif,2017-01-11,XAF,3925454
237-01-232326853,CUST-0000715,Professionnel,Crédit scolaire,Actif,2019-06-19,FCFA,4712902
237-01-502239013,CUST-0000931,Professionnel,Crédit commercial,Actif,2025-07-21,FCFA,4118100
237-01-972058745,CUST-0000824,Épargne,Épargne projet,Actif,2019-05-04,XAF,480631
237-01-972844318,CUST-0005820,Épargne,Épargne projet,Dormant,2019-02-18,XAF,95785
237-01-435028302,CUST-0001813,Épargne,Épargne jeune,Actif,2018-08-09,XAF,1495013
